"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","--------------1-----------------------","1","0","155","0000100010"
"1","forall NODE0. ~transfer_epoch0(NODE0)","2","--------------------------1-----------","1","1","2","0000001010"
"2","forall NODE0. ~transfer_epoch1(NODE0)","2","----------------------------1---------","1","1","2","0000001010"
"3","exists NODE0. ~ep_epoch0(NODE0)","2","1-----1-------------------------------","1","4","6","2000000001"
"4","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------------------","2","8","15","2000000010"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------------------","2","8","15","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------------------","2","8","15","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE0)","3","1---1---------------------------------","2","8","15","2000000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE0)","3","1----1--------------------------------","2","8","15","2000000010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----------1-------------------------","2","0","155","1010000010"
"10","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch1(NODE0)","3","1---------------1---------------------","2","7","15","1000100010"
"11","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-----------------1-------------------","2","7","15","1000100010"
"12","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1-------------------1-----------------","2","7","15","1000100010"
"13","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE0)","3","1---------------------1---------------","2","7","15","1000100010"
"14","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE0)","3","1-----------------------1-------------","2","7","15","1000100010"
"15","forall NODE0,NODE1. ~ep_epoch0(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","5","1----------------0--------------------","3","0","155","1000010020"
"16","exists NODE0. ~ep_epoch1(NODE0)","2","-1-----1------------------------------","1","4","6","2000000001"
"17","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------------------","2","8","15","2000000010"
"18","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------------------","2","8","15","2000000010"
"19","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE0)","3","-1--1---------------------------------","2","8","15","2000000010"
"20","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE0)","3","-1---1--------------------------------","2","8","15","2000000010"
"21","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch1(NODE1) | NODE0 = NODE1","5","-1---------------1--------------------","3","18","5","1000100020"
"22","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1----------------1-------------------","2","7","15","1000100010"
"23","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1------------------1-----------------","2","7","15","1000100010"
"24","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE0)","3","-1--------------------1---------------","2","7","15","1000100010"
"25","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE0)","3","-1----------------------1-------------","2","7","15","1000100010"
"26","forall NODE0. ~ep_epoch1(NODE0) | locked_epoch1(NODE0)","3","-1--------------0---------------------","2","6","5","1000010010"
"27","exists NODE0. ~ep_epoch2(NODE0)","2","--1-----1-----------------------------","1","4","6","2000000001"
"28","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11----------------------------------","2","8","15","2000000010"
"29","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch4(NODE0)","3","--1-1---------------------------------","2","8","15","2000000010"
"30","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch5(NODE0)","3","--1--1--------------------------------","2","8","15","2000000010"
"31","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1----------------1------------------","3","18","5","1000100020"
"32","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch3(NODE0)","3","--1-----------------1-----------------","2","7","15","1000100010"
"33","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch4(NODE0)","3","--1-------------------1---------------","2","7","15","1000100010"
"34","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch5(NODE0)","3","--1---------------------1-------------","2","7","15","1000100010"
"35","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1---------------------------1-------","2","13","10","1000001020"
"36","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1---------------0-------------------","2","6","5","1000010010"
"37","exists NODE0. ~ep_epoch3(NODE0)","2","---1-----1----------------------------","1","4","6","2000000001"
"38","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch4(NODE0)","3","---11---------------------------------","2","8","15","2000000010"
"39","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch5(NODE0)","3","---1-1--------------------------------","2","8","15","2000000010"
"40","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1-----------------1----------------","3","18","5","1000100020"
"41","forall NODE0. ~ep_epoch3(NODE0) | ~locked_epoch4(NODE0)","3","---1------------------1---------------","2","7","15","1000100010"
"42","forall NODE0. ~ep_epoch3(NODE0) | ~locked_epoch5(NODE0)","3","---1--------------------1-------------","2","7","15","1000100010"
"43","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1--------------------------1-------","2","13","10","1000001020"
"44","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1----------------------------1-----","2","13","10","1000001020"
"45","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1----------------0-----------------","2","6","5","1000010010"
"46","exists NODE0. ~ep_epoch4(NODE0)","2","----1-----1---------------------------","1","4","6","2000000001"
"47","forall NODE0. ~ep_epoch4(NODE0) | ~ep_epoch5(NODE0)","3","----11--------------------------------","2","8","15","2000000010"
"48","forall NODE0,NODE1. ~ep_epoch4(NODE0) | ~locked_epoch4(NODE1) | NODE0 = NODE1","5","----1------------------1--------------","3","18","5","1000100020"
"49","forall NODE0. ~ep_epoch4(NODE0) | ~locked_epoch5(NODE0)","3","----1-------------------1-------------","2","7","15","1000100010"
"50","forall NODE0,NODE1. ~ep_epoch4(NODE0) | ~transfer_epoch2(NODE1)","4","----1-------------------------1-------","2","13","10","1000001020"
"51","forall NODE0,NODE1. ~ep_epoch4(NODE0) | ~transfer_epoch3(NODE1)","4","----1---------------------------1-----","2","13","10","1000001020"
"52","forall NODE0,NODE1. ~ep_epoch4(NODE0) | ~transfer_epoch4(NODE1)","4","----1-----------------------------1---","2","13","10","1000001020"
"53","forall NODE0. ~ep_epoch4(NODE0) | locked_epoch4(NODE0)","3","----1-----------------0---------------","2","6","5","1000010010"
"54","exists NODE0. ~ep_epoch5(NODE0)","2","-----1-----1--------------------------","1","4","6","2000000001"
"55","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","-----1-------1------------------------","3","0","155","1010000020"
"56","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~locked_epoch5(NODE1) | NODE0 = NODE1","5","-----1-------------------1------------","3","18","5","1000100020"
"57","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~transfer_epoch2(NODE1)","4","-----1------------------------1-------","2","13","10","1000001020"
"58","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~transfer_epoch3(NODE1)","4","-----1--------------------------1-----","2","13","10","1000001020"
"59","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~transfer_epoch4(NODE1)","4","-----1----------------------------1---","2","13","10","1000001020"
"60","forall NODE0,NODE1. ~ep_epoch5(NODE0) | ~transfer_epoch5(NODE1)","4","-----1------------------------------1-","2","13","10","1000001020"
"61","forall NODE0. ~ep_epoch5(NODE0) | held(NODE0)","3","-----1------0-------------------------","2","0","155","1001000010"
"62","forall NODE0. ~ep_epoch5(NODE0) | locked_epoch5(NODE0)","3","-----1------------------0-------------","2","6","5","1000010010"
"63","exists NODE0. ~held(NODE0)","2","------------11------------------------","1","0","155","0020000001"
"64","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch5(NODE1) | NODE0 = NODE1","5","------------1------------1------------","3","0","155","0010100020"
"65","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","------------1-----------------1-------","2","11","4","0010001020"
"66","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","------------1-------------------1-----","2","11","4","0010001020"
"67","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch4(NODE1)","4","------------1---------------------1---","2","11","4","0010001020"
"68","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch5(NODE1)","4","------------1-----------------------1-","2","11","4","0010001020"
"69","exists NODE0. ~locked_epoch1(NODE0)","2","----------------11--------------------","1","3","5","0000200001"
"70","exists NODE0. ~locked_epoch2(NODE0)","2","------------------11------------------","1","3","5","0000200001"
"71","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","------------------1-----------1-------","2","10","10","0000101020"
"72","exists NODE0. ~locked_epoch3(NODE0)","2","--------------------11----------------","1","3","5","0000200001"
"73","forall NODE0,NODE1. ~locked_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","--------------------1---------1-------","2","10","10","0000101020"
"74","forall NODE0,NODE1. ~locked_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","--------------------1-----------1-----","2","10","10","0000101020"
"75","exists NODE0. ~locked_epoch4(NODE0)","2","----------------------11--------------","1","3","5","0000200001"
"76","forall NODE0,NODE1. ~locked_epoch4(NODE0) | ~transfer_epoch2(NODE1)","4","----------------------1-------1-------","2","10","10","0000101020"
"77","forall NODE0,NODE1. ~locked_epoch4(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------1---------1-----","2","10","10","0000101020"
"78","forall NODE0,NODE1. ~locked_epoch4(NODE0) | ~transfer_epoch4(NODE1)","4","----------------------1-----------1---","2","10","10","0000101020"
"79","exists NODE0. ~locked_epoch5(NODE0)","2","------------------------11------------","1","3","5","0000200001"
"80","forall NODE0,NODE1. ~locked_epoch5(NODE0) | ~transfer_epoch2(NODE1)","4","------------------------1-----1-------","2","10","10","0000101020"
"81","forall NODE0,NODE1. ~locked_epoch5(NODE0) | ~transfer_epoch3(NODE1)","4","------------------------1-------1-----","2","10","10","0000101020"
"82","forall NODE0,NODE1. ~locked_epoch5(NODE0) | ~transfer_epoch4(NODE1)","4","------------------------1---------1---","2","10","10","0000101020"
"83","forall NODE0,NODE1. ~locked_epoch5(NODE0) | ~transfer_epoch5(NODE1)","4","------------------------1-----------1-","2","10","10","0000101020"
"84","forall NODE0. ~locked_epoch5(NODE0) | ep_epoch5(NODE0)","3","-----0------------------1-------------","2","0","155","0100100010"
"85","forall NODE0. ~locked_epoch5(NODE0) | held(NODE0)","3","------------0-----------1-------------","2","0","155","0001100010"
"86","exists NODE0. ~transfer_epoch2(NODE0)","2","------------------------------11------","1","2","4","0000002001"
"87","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ~transfer_epoch3(NODE1)","4","------------------------------1-1-----","2","9","6","0000002020"
"88","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ~transfer_epoch4(NODE1)","4","------------------------------1---1---","2","9","6","0000002020"
"89","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ~transfer_epoch5(NODE1)","4","------------------------------1-----1-","2","9","6","0000002020"
"90","exists NODE0. ~transfer_epoch3(NODE0)","2","--------------------------------11----","1","2","4","0000002001"
"91","forall NODE0,NODE1. ~transfer_epoch3(NODE0) | ~transfer_epoch4(NODE1)","4","--------------------------------1-1---","2","9","6","0000002020"
"92","forall NODE0,NODE1. ~transfer_epoch3(NODE0) | ~transfer_epoch5(NODE1)","4","--------------------------------1---1-","2","9","6","0000002020"
"93","exists NODE0. ~transfer_epoch4(NODE0)","2","----------------------------------11--","1","2","4","0000002001"
"94","forall NODE0,NODE1. ~transfer_epoch4(NODE0) | ~transfer_epoch5(NODE1)","4","----------------------------------1-1-","2","9","6","0000002020"
"95","exists NODE0. ~transfer_epoch5(NODE0)","2","------------------------------------11","1","2","4","0000002001"
"96","exists NODE0. locked_epoch1(NODE0)","2","----------------00--------------------","1","0","155","0000020001"
"97","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch3(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------1------------------------1-----","7","268","10","2000001030"
"98","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch4(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------1--------------------------1---","7","268","10","2000001030"
"99","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch5(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------1----------------------------1-","7","268","10","2000001030"
