"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","----------------1---------------------------","1","3","2","0000100010"
"1","forall NODE0. ~locked_epoch1(NODE0)","2","------------------1-------------------------","1","3","2","0000100010"
"2","forall NODE0. ~transfer_epoch0(NODE0)","2","------------------------------1-------------","1","1","2","0000001010"
"3","forall NODE0. ~transfer_epoch1(NODE0)","2","--------------------------------1-----------","1","1","2","0000001010"
"4","exists NODE0. ~ep_epoch0(NODE0)","2","1------1------------------------------------","1","5","7","2000000001"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------------------------","2","9","21","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------------------------","2","9","21","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------------------------","2","9","21","2000000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE0)","3","1---1---------------------------------------","2","9","21","2000000010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE0)","3","1----1--------------------------------------","2","9","21","2000000010"
"10","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch6(NODE0)","3","1-----1-------------------------------------","2","9","21","2000000010"
"11","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-------------1-----------------------------","2","0","243","1010000010"
"12","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-------------------1-----------------------","2","8","20","1000100010"
"13","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1---------------------1---------------------","2","8","20","1000100010"
"14","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE0)","3","1-----------------------1-------------------","2","8","20","1000100010"
"15","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE0)","3","1-------------------------1-----------------","2","8","20","1000100010"
"16","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch6(NODE0)","3","1---------------------------1---------------","2","8","20","1000100010"
"17","exists NODE0. ~ep_epoch1(NODE0)","2","-1------1-----------------------------------","1","5","7","2000000001"
"18","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------------------------","2","9","21","2000000010"
"19","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------------------------","2","9","21","2000000010"
"20","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE0)","3","-1--1---------------------------------------","2","9","21","2000000010"
"21","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE0)","3","-1---1--------------------------------------","2","9","21","2000000010"
"22","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch6(NODE0)","3","-1----1-------------------------------------","2","9","21","2000000010"
"23","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1------------------1-----------------------","2","8","20","1000100010"
"24","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1--------------------1---------------------","2","8","20","1000100010"
"25","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE0)","3","-1----------------------1-------------------","2","8","20","1000100010"
"26","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE0)","3","-1------------------------1-----------------","2","8","20","1000100010"
"27","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch6(NODE0)","3","-1--------------------------1---------------","2","8","20","1000100010"
"28","exists NODE0. ~ep_epoch2(NODE0)","2","--1------1----------------------------------","1","5","7","2000000001"
"29","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11----------------------------------------","2","9","21","2000000010"
"30","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch4(NODE0)","3","--1-1---------------------------------------","2","9","21","2000000010"
"31","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch5(NODE0)","3","--1--1--------------------------------------","2","9","21","2000000010"
"32","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch6(NODE0)","3","--1---1-------------------------------------","2","9","21","2000000010"
