"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","--------1-----------","1","0","39","0000100010"
"1","forall NODE0. ~transfer_epoch0(NODE0)","2","--------------1-----","1","1","2","0000001010"
"2","forall NODE0. ~transfer_epoch1(NODE0)","2","----------------1---","1","1","2","0000001010"
"3","exists NODE0. ~ep_epoch0(NODE0)","2","1--1----------------","1","3","3","2000000001"
"4","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------","2","9","3","2000000010"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------","2","9","3","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----1-------------","2","0","39","1010000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch1(NODE0)","3","1---------1---------","2","8","3","1000100010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-----------1-------","2","8","3","1000100010"
"9","forall NODE0,NODE1. ~ep_epoch0(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","5","1----------0--------","3","0","39","1000010020"
"10","exists NODE0. ~ep_epoch1(NODE0)","2","-1--1---------------","1","3","3","2000000001"
"11","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------","2","9","3","2000000010"
"12","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch1(NODE1) | NODE0 = NODE1","5","-1---------1--------","3","12","2","1000100020"
"13","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1----------1-------","2","8","3","1000100010"
"14","forall NODE0. ~ep_epoch1(NODE0) | locked_epoch1(NODE0)","3","-1--------0---------","2","7","2","1000010010"
"15","exists NODE0. ~ep_epoch2(NODE0)","2","--1--1--------------","1","3","3","2000000001"
"16","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","--1----1------------","3","0","39","1010000020"
"17","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1----------1------","3","12","2","1000100020"
"18","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1---------------1-","2","0","39","1000001020"
"19","forall NODE0. ~ep_epoch2(NODE0) | held(NODE0)","3","--1---0-------------","2","0","39","1001000010"
"20","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1---------0-------","2","7","2","1000010010"
"21","exists NODE0. ~held(NODE0)","2","------11------------","1","0","39","0020000001"
"22","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","------1------1------","3","0","39","0010100020"
"23","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","------1-----------1-","2","0","39","0010001020"
"24","exists NODE0. ~locked_epoch1(NODE0)","2","----------11--------","1","2","2","0000200001"
"25","exists NODE0. ~locked_epoch2(NODE0)","2","------------11------","1","2","2","0000200001"
"26","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","------------1-----1-","2","0","39","0000101020"
"27","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0)","3","--0---------1-------","2","0","39","0100100010"
"28","forall NODE0. ~locked_epoch2(NODE0) | held(NODE0)","3","------0-----1-------","2","0","39","0001100010"
"29","exists NODE0. ~transfer_epoch2(NODE0)","2","------------------11","1","0","39","0000002001"
"30","exists NODE0. locked_epoch1(NODE0)","2","----------00--------","1","0","39","0000020001"
"31","forall NODE2,NODE0,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","1---0-------------1-","7","31","2","1100001030"
"32","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","1---00--------------","4","25","3","1200000020"
"33","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | held(NODE1) | NODE0 = NODE1","6","1---0--0------------","4","23","2","1101000020"
"34","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1---0--------0------","4","21","4","1100010020"
"35","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1-0--1-------------","4","24","2","1110000020"
"36","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","-1---0-1------------","4","24","2","1110000020"
"37","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----1-----0------","4","0","39","1010010020"
"38","forall NODE2,NODE0,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1-0--------------1-","7","31","2","1100001030"
