"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","--------1-----------","1","2","2","0000100010"
"1","forall NODE0. ~locked_epoch1(NODE0)","2","----------1---------","1","2","2","0000100010"
"2","forall NODE0. ~transfer_epoch0(NODE0)","2","--------------1-----","1","1","2","0000001010"
"3","forall NODE0. ~transfer_epoch1(NODE0)","2","----------------1---","1","1","2","0000001010"
"4","exists NODE0. ~ep_epoch0(NODE0)","2","1--1----------------","1","3","3","2000000001"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------","2","8","3","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------","2","8","3","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----1-------------","2","0","26","1010000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-----------1-------","2","7","2","1000100010"
"9","exists NODE0. ~ep_epoch1(NODE0)","2","-1--1---------------","1","3","3","2000000001"
"10","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------","2","8","3","2000000010"
"11","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1----------1-------","2","7","2","1000100010"
"12","exists NODE0. ~ep_epoch2(NODE0)","2","--1--1--------------","1","3","3","2000000001"
"13","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","--1----1------------","3","0","26","1010000020"
"14","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1----------1------","3","0","26","1000100020"
"15","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1---------------1-","2","0","26","1000001020"
"16","forall NODE0. ~ep_epoch2(NODE0) | held(NODE0)","3","--1---0-------------","2","0","26","1001000010"
"17","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1---------0-------","2","0","26","1000010010"
"18","exists NODE0. ~held(NODE0)","2","------11------------","1","0","26","0020000001"
"19","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","------1------1------","3","0","26","0010100020"
"20","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","------1-----------1-","2","0","26","0010001020"
"21","exists NODE0. ~locked_epoch2(NODE0)","2","------------11------","1","0","26","0000200001"
"22","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","------------1-----1-","2","0","26","0000101020"
"23","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0)","3","--0---------1-------","2","0","26","0100100010"
"24","forall NODE0. ~locked_epoch2(NODE0) | held(NODE0)","3","------0-----1-------","2","0","26","0001100010"
"25","exists NODE0. ~transfer_epoch2(NODE0)","2","------------------11","1","0","26","0000002001"
"26","forall NODE2,NODE0,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1---0-------------1-","7","20","2","1100001030"
"27","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","1---00--------------","4","14","3","1200000020"
