"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","---------------1-----------------------","1","2","2","0000100010"
"1","forall NODE0. ~locked_epoch1(NODE0)","2","------------------1--------------------","1","2","2","0000100010"
"2","forall NODE0. ~transfer_epoch0(NODE0)","2","---------------------------1-----------","1","1","2","0000001010"
"3","forall NODE0. ~transfer_epoch1(NODE0)","2","------------------------------1--------","1","1","2","0000001010"
"4","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11-------------------------------------","2","7","6","2000000010"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1------------------------------------","2","7","6","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1-----------------------------------","2","7","6","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----------1--------------------------","2","0","182","1010000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1--------------------1-----------------","2","6","5","1000100010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1-----------------------1--------------","2","6","5","1000100010"
"10","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~ep_epoch1(NODE1) | NODE0 = NODE1","5","-1---1---------------------------------","3","17","3","2000000020"
"11","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11------------------------------------","2","7","6","2000000010"
"12","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1-----------------------------------","2","7","6","2000000010"
"13","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1-------------------1-----------------","2","6","5","1000100010"
"14","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1----------------------1--------------","2","6","5","1000100010"
"15","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~ep_epoch2(NODE1) | NODE0 = NODE1","5","--1---1--------------------------------","3","17","3","2000000020"
"16","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11-----------------------------------","2","7","6","2000000010"
"17","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1-------------------1----------------","3","16","2","1000100020"
"18","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch3(NODE0)","3","--1---------------------1--------------","2","6","5","1000100010"
"19","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1------------------------------1-----","2","11","3","1000001020"
"20","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1------------------0-----------------","2","5","2","1000010010"
"21","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~ep_epoch3(NODE1) | NODE0 = NODE1","5","---1---1-------------------------------","3","17","3","2000000020"
"22","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","---1---------1-------------------------","3","0","182","1010000020"
"23","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1---------------------1-------------","3","16","2","1000100020"
"24","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1-----------------------------1-----","2","11","3","1000001020"
