[runlim] version:		2.0.0rc12
[runlim] host:			caen-vnc-mi17.engin.umich.edu
[runlim] time limit:		2000 seconds
[runlim] real time limit:	2000 seconds
[runlim] space limit:		15000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		qrm.py
[runlim] argv[2]:		ivybench/sym/ivy/Consensus.ivy
[runlim] argv[3]:		-s
[runlim] argv[4]:		value=4
[runlim] argv[5]:		-v
[runlim] argv[6]:		5
[runlim] argv[7]:		-w
[runlim] argv[8]:		-l
[runlim] argv[9]:		ivybench/sym/ivy/Consensus.fw.log
[runlim] start:			Thu Jan  9 16:53:44 2025
[runlim] child:			193409
[runlim] sample:		1.11 time, 10.01 real, 56 MB, 0.23 load
[runlim] end:			Thu Jan  9 16:54:03 2025
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		17
[runlim] processes:		18
[runlim] real:			19.33 seconds
[runlim] time:			5.21 seconds
[runlim] space:			197 MB
[runlim] load:			0.35 maximum
[runlim] samples:		194
