[runlim] version:		2.0.0rc12
[runlim] host:			caen-vnc-mi17.engin.umich.edu
[runlim] time limit:		2000 seconds
[runlim] real time limit:	2000 seconds
[runlim] space limit:		15000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		qrm.py
[runlim] argv[2]:		ivybench/sym_quorum/ivy/consensus_epr.ivy
[runlim] argv[3]:		-s
[runlim] argv[4]:		node=4,value=3
[runlim] argv[5]:		-v
[runlim] argv[6]:		5
[runlim] argv[7]:		-w
[runlim] argv[8]:		-l
[runlim] argv[9]:		ivybench/sym_quorum/ivy/consensus_epr.fw.log
[runlim] start:			Thu Jan  9 17:24:36 2025
[runlim] child:			196246
[runlim] sample:		1.16 time, 10.01 real, 85 MB, 1.28 load
[runlim] sample:		7.77 time, 20.01 real, 61 MB, 1.24 load
[runlim] sample:		17.74 time, 30.01 real, 62 MB, 1.20 load
[runlim] sample:		27.70 time, 40.01 real, 62 MB, 1.17 load
[runlim] sample:		37.67 time, 50.01 real, 63 MB, 1.14 load
[runlim] sample:		47.63 time, 60.01 real, 64 MB, 1.12 load
[runlim] sample:		57.61 time, 70.01 real, 64 MB, 1.10 load
[runlim] sample:		67.58 time, 80.01 real, 65 MB, 1.09 load
[runlim] sample:		77.54 time, 90.01 real, 65 MB, 1.07 load
[runlim] sample:		87.51 time, 100.01 real, 66 MB, 1.06 load
[runlim] sample:		97.48 time, 110.01 real, 67 MB, 1.05 load
[runlim] sample:		107.44 time, 120.01 real, 67 MB, 1.04 load
[runlim] sample:		117.41 time, 130.01 real, 68 MB, 1.04 load
[runlim] sample:		127.39 time, 140.01 real, 70 MB, 1.03 load
[runlim] sample:		137.35 time, 150.01 real, 72 MB, 1.02 load
[runlim] sample:		147.31 time, 160.01 real, 73 MB, 1.10 load
[runlim] sample:		157.28 time, 170.01 real, 73 MB, 1.08 load
[runlim] sample:		167.25 time, 180.01 real, 73 MB, 1.07 load
[runlim] sample:		177.21 time, 190.01 real, 74 MB, 1.06 load
[runlim] sample:		187.18 time, 200.01 real, 74 MB, 1.05 load
[runlim] sample:		197.14 time, 210.01 real, 75 MB, 1.04 load
[runlim] sample:		207.11 time, 220.01 real, 76 MB, 1.04 load
[runlim] sample:		217.08 time, 230.01 real, 76 MB, 1.03 load
[runlim] sample:		227.04 time, 240.01 real, 77 MB, 1.02 load
[runlim] sample:		237.01 time, 250.01 real, 77 MB, 1.09 load
[runlim] sample:		246.98 time, 260.01 real, 78 MB, 1.08 load
[runlim] sample:		256.95 time, 270.01 real, 78 MB, 1.07 load
[runlim] sample:		266.92 time, 280.01 real, 79 MB, 1.06 load
[runlim] sample:		276.89 time, 290.01 real, 79 MB, 1.05 load
[runlim] sample:		286.86 time, 300.01 real, 80 MB, 1.04 load
[runlim] sample:		296.83 time, 310.01 real, 80 MB, 1.03 load
[runlim] sample:		306.80 time, 320.01 real, 83 MB, 1.03 load
[runlim] sample:		316.76 time, 330.01 real, 83 MB, 1.02 load
[runlim] sample:		326.73 time, 340.01 real, 83 MB, 1.02 load
[runlim] sample:		336.71 time, 350.01 real, 84 MB, 1.02 load
[runlim] sample:		346.68 time, 360.01 real, 84 MB, 1.16 load
[runlim] sample:		356.64 time, 370.01 real, 85 MB, 1.13 load
[runlim] sample:		366.61 time, 380.01 real, 85 MB, 1.11 load
[runlim] sample:		376.58 time, 390.01 real, 86 MB, 1.10 load
