[runlim] version:		2.0.0rc12
[runlim] host:			caen-vnc-mi17.engin.umich.edu
[runlim] time limit:		2000 seconds
[runlim] real time limit:	2000 seconds
[runlim] space limit:		15000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		qrm.py
[runlim] argv[2]:		ivybench/sym_quorum/ivy/quorum-leader-election-wo-maj.ivy
[runlim] argv[3]:		-s
[runlim] argv[4]:		node=6
[runlim] argv[5]:		-v
[runlim] argv[6]:		5
[runlim] argv[7]:		-w
[runlim] argv[8]:		-l
[runlim] argv[9]:		ivybench/sym_quorum/ivy/quorum-leader-election-wo-maj.fw.log
[runlim] start:			Thu Jan  9 16:57:42 2025
[runlim] child:			194755
[runlim] sample:		5.22 time, 10.01 real, 183 MB, 1.18 load
[runlim] sample:		14.87 time, 20.01 real, 63 MB, 1.15 load
[runlim] sample:		24.83 time, 30.01 real, 66 MB, 1.13 load
[runlim] sample:		34.80 time, 40.01 real, 68 MB, 1.11 load
[runlim] sample:		44.76 time, 50.01 real, 73 MB, 1.09 load
[runlim] sample:		54.73 time, 60.01 real, 76 MB, 1.08 load
[runlim] sample:		64.69 time, 70.01 real, 79 MB, 1.06 load
[runlim] sample:		74.66 time, 80.01 real, 83 MB, 1.05 load
[runlim] sample:		84.62 time, 90.01 real, 88 MB, 1.04 load
[runlim] sample:		94.59 time, 100.01 real, 91 MB, 1.04 load
[runlim] sample:		104.56 time, 110.01 real, 93 MB, 1.03 load
[runlim] sample:		114.53 time, 120.01 real, 95 MB, 1.03 load
[runlim] sample:		124.50 time, 130.01 real, 101 MB, 1.02 load
[runlim] sample:		134.46 time, 140.01 real, 104 MB, 1.02 load
[runlim] sample:		144.42 time, 150.01 real, 106 MB, 1.01 load
[runlim] sample:		154.39 time, 160.01 real, 114 MB, 1.01 load
[runlim] sample:		164.35 time, 170.01 real, 117 MB, 1.01 load
[runlim] sample:		174.32 time, 180.01 real, 120 MB, 1.01 load
[runlim] sample:		184.28 time, 190.01 real, 123 MB, 1.01 load
[runlim] sample:		194.26 time, 200.01 real, 125 MB, 1.00 load
[runlim] sample:		204.22 time, 210.01 real, 128 MB, 1.00 load
[runlim] sample:		214.19 time, 220.01 real, 131 MB, 1.00 load
[runlim] sample:		224.16 time, 230.01 real, 134 MB, 1.00 load
[runlim] sample:		234.13 time, 240.01 real, 140 MB, 1.08 load
[runlim] sample:		244.10 time, 250.01 real, 143 MB, 1.07 load
[runlim] sample:		254.07 time, 260.01 real, 146 MB, 1.06 load
[runlim] sample:		264.04 time, 270.01 real, 149 MB, 1.05 load
[runlim] sample:		274.01 time, 280.01 real, 152 MB, 1.04 load
[runlim] sample:		283.98 time, 290.01 real, 162 MB, 1.03 load
[runlim] sample:		293.95 time, 300.01 real, 165 MB, 1.03 load
[runlim] sample:		303.92 time, 310.01 real, 169 MB, 1.02 load
[runlim] sample:		313.88 time, 320.01 real, 172 MB, 1.02 load
[runlim] sample:		323.86 time, 330.01 real, 174 MB, 1.02 load
[runlim] sample:		333.83 time, 340.01 real, 176 MB, 1.01 load
[runlim] sample:		343.80 time, 350.01 real, 179 MB, 1.01 load
[runlim] sample:		353.77 time, 360.01 real, 181 MB, 1.01 load
[runlim] sample:		363.73 time, 370.01 real, 184 MB, 1.01 load
[runlim] sample:		373.71 time, 380.01 real, 185 MB, 1.00 load
[runlim] sample:		383.68 time, 390.01 real, 187 MB, 1.00 load
